 yes             code            v(D1)           v(D2)           v(d3)           v(d4)           v(d5)           i(viin)         i(vidump)       v(vout)        
 1.00000000e+00  0.00000000e+00  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.13104802e-07  1.45266565e-11  1.02217858e-05  5.79230070e-01 
 1.00000000e+00  1.00000000e+00  1.79999999e+00  2.13104734e-07  2.13104734e-07  2.13104734e-07  2.13104802e-07  6.39087510e-07  9.58290973e-06  6.32625850e-01 
 1.00000000e+00  2.00000000e+00  1.79999999e+00  1.79999999e+00  2.13104734e-07  2.13104734e-07  2.13104802e-07  1.27811277e-06  8.94402464e-06  6.87707423e-01 
 1.00000000e+00  3.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.13104734e-07  2.13104802e-07  1.91709005e-06  8.30513445e-06  7.44199055e-01 
 1.00000000e+00  4.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.13104802e-07  2.55601914e-06  7.66624313e-06  8.01857662e-01 
 1.00000000e+00  5.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  3.19489953e-06  7.02735236e-06  8.60465846e-01 
 1.00000000e+00  6.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  3.83373125e-06  6.38846509e-06  9.19826202e-01 
 1.00000000e+00  7.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  4.47251381e-06  5.74958280e-06  9.79756707e-01 
 1.00000000e+00  8.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  5.11124709e-06  5.11070705e-06  1.04008668e+00 
 1.00000000e+00  9.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  5.74993084e-06  4.47183893e-06  1.10065313e+00 
 1.00000000e+00  1.00000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  6.38856455e-06  3.83297915e-06  1.16129683e+00 
 1.00000000e+00  1.10000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  7.02714822e-06  3.19412843e-06  1.22185621e+00 
 1.00000000e+00  1.20000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  7.66568153e-06  2.55528718e-06  1.28215023e+00 
 1.00000000e+00  1.30000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  8.30416400e-06  1.91645532e-06  1.34189190e+00 
 1.00000000e+00  1.40000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  8.94259564e-06  1.27763236e-06  1.40018050e+00 
 1.00000000e+00  1.50000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  9.58097591e-06  6.38818165e-07  1.45469488e+00 
 1.00000000e+00  1.60000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.02193046e-05  1.32818641e-11  1.50332996e+00 
