 time            i(VIin)         v(Vout)        
 0.00000000e+00 -1.00000000e-06  2.75878851e-01 
 1.00000000e-11 -9.78743363e-07  2.75878830e-01 
 2.00000000e-11 -9.57486726e-07  2.75878790e-01 
 4.00000000e-11 -9.14973452e-07  2.75878668e-01 
 8.00000000e-11 -8.29946905e-07  2.75878182e-01 
 1.60000000e-10 -6.59893821e-07  2.75876256e-01 
 3.20000000e-10 -3.19787722e-07  2.75868693e-01 
 6.40000000e-10  3.60423905e-07  2.75839477e-01 
 1.00000000e-09  1.12566040e-06  2.75785586e-01 
 1.06400000e-09  1.13370220e-06  2.75774247e-01 
 1.19200000e-09  1.14978554e-06  2.75751841e-01 
 1.44800000e-09  1.18195101e-06  2.75708579e-01 
 1.96000000e-09  1.24627596e-06  2.75627574e-01 
 2.98400000e-09  1.37489263e-06  2.75483388e-01 
 5.00000000e-09  1.62790520e-06  2.75246533e-01 
 5.05000000e-09  1.63417586e-06  2.75253039e-01 
 5.15000000e-09  1.64671643e-06  2.75264280e-01 
 5.35000000e-09  1.67179449e-06  2.66768297e-01 
 5.50000000e-09  1.69060026e-06  2.52419959e-01 
 5.51832499e-09  1.69289753e-06  2.50563775e-01 
 5.55497496e-09  1.69749196e-06  2.46989116e-01 
 5.62827491e-09  1.70668037e-06  2.40520620e-01 
 5.77487480e-09  1.72505539e-06  2.29825495e-01 
 6.06807458e-09  1.76179798e-06  2.15291334e-01 
 6.65447415e-09  1.83525164e-06  2.03485109e-01 
 7.58312919e-09  1.95148258e-06  2.08717669e-01 
 8.63678324e-09  2.08320069e-06  2.28449763e-01 
 9.50000000e-09  2.19097160e-06  2.48266113e-01 
 9.55000000e-09  2.19720983e-06  2.49693080e-01 
 9.65000000e-09  2.20968487e-06  2.52738951e-01 
 9.82088118e-09  2.23099793e-06  2.59061568e-01 
 9.99194277e-09  2.25232781e-06  2.67101300e-01 
 1.00000000e-08  2.25333234e-06  2.67522428e-01 
 1.00161145e-08  2.25534134e-06  2.68361477e-01 
 1.00483434e-08  2.25935921e-06  2.70032826e-01 
 1.01067749e-08  2.26664313e-06  2.73029884e-01 
 1.02236380e-08  2.28120893e-06  2.78898771e-01 
 1.04573642e-08  2.31033221e-06  2.90148055e-01 
 1.09248167e-08  2.36854460e-06  3.10806467e-01 
 1.10000000e-08  2.37790291e-06  3.13907573e-01 
 1.10934905e-08  2.20255728e-06  3.17642372e-01 
 1.12804715e-08  1.85186025e-06  3.24945218e-01 
 1.16544334e-08  1.15044268e-06  3.38594507e-01 
 1.20000000e-08  5.02255891e-07  3.50147121e-01 
 1.20747924e-08  5.11547256e-07  3.52499000e-01 
 1.22243772e-08  5.30125973e-07  3.57117416e-01 
 1.25235467e-08  5.67267121e-07  3.65862107e-01 
 1.31218858e-08  6.41482438e-07  3.81571442e-01 
 1.43185641e-08  7.89630481e-07  4.07160328e-01 
 1.50000000e-08  8.73813146e-07  4.18838803e-01 
 1.50500000e-08  8.79984668e-07  4.19635895e-01 
 1.51500000e-08  8.92325484e-07  4.21212353e-01 
 1.53297143e-08  9.14496166e-07  4.23696804e-01 
 1.54730507e-08  9.32172053e-07  4.24575251e-01 
 1.55000000e-08  9.35494681e-07  4.24542734e-01 
 1.55150073e-08  9.37344855e-07  4.24488404e-01 
 1.55450218e-08  9.41044997e-07  4.24387886e-01 
 1.56050509e-08  9.48444452e-07  4.24220383e-01 
 1.57251091e-08  9.63240032e-07  4.24006688e-01 
 1.59652255e-08  9.92817752e-07  4.24023509e-01 
 1.64454583e-08  1.05191849e-06  4.25467758e-01 
 1.74059238e-08  1.16989364e-06  4.32418105e-01 
 1.93268548e-08  1.40487851e-06  4.55910417e-01 
 1.95000000e-08  1.42599231e-06  4.58476488e-01 
 1.95500000e-08  1.43208731e-06  4.59257738e-01 
 1.96500000e-08  1.44427444e-06  4.60895981e-01 
 1.98216455e-08  1.46518409e-06  4.64028875e-01 
 1.99923545e-08  1.48596828e-06  4.67436901e-01 
 2.00000000e-08  1.48689887e-06  4.67595093e-01 
 2.00152910e-08  1.48875999e-06  4.67917680e-01 
 2.00458731e-08  1.49248194e-06  4.68561484e-01 
 2.01027565e-08  1.49940388e-06  4.69751036e-01 
 2.02165232e-08  1.51324391e-06  4.72099143e-01 
 2.04440565e-08  1.54090855e-06  4.76675913e-01 
 2.08991233e-08  1.59617527e-06  4.85383529e-01 
 2.18092568e-08  1.70645222e-06  5.01242392e-01 
 2.36295238e-08  1.92592968e-06  5.28186285e-01 
 2.50000000e-08  2.09016994e-06  5.45297512e-01 
 2.50500000e-08  2.09614500e-06  5.45891924e-01 
 2.51500000e-08  2.10809144e-06  5.47070172e-01 
 2.53293813e-08  2.12950880e-06  5.49242439e-01 
 2.54719937e-08  2.14652478e-06  5.50817196e-01 
 2.55000000e-08  2.14986520e-06  5.51047470e-01 
 2.55149584e-08  2.15164919e-06  5.51148092e-01 
 2.55448753e-08  2.15521683e-06  5.51353869e-01 
 2.56047089e-08  2.16235078e-06  5.51777078e-01 
 2.57243763e-08  2.17661332e-06  5.52657717e-01 
 2.59637110e-08  2.20511680e-06  5.54552802e-01 
 2.64423805e-08  2.26203654e-06  5.58783989e-01 
 2.73997194e-08  2.37551989e-06  5.68439954e-01 
 2.86276985e-08  2.52036756e-06  5.82012216e-01 
 2.95000000e-08  2.62275367e-06  5.91910323e-01 
 2.95500000e-08  2.62860933e-06  5.92480413e-01 
